                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.0051,                 0.4218,                0.86336,                 0.9855,                0.99097,                0.99045,                0.75389,                0.00621,                0.37614,                0.89297,              0.0090667,              0.0090667,              0.0090667
                     37,                 0.0051,                0.41856,                  0.864,                0.98615,                0.98923,                0.98873,                0.73059,                0.00674,                0.40328,                0.90714,                0.00904,                0.00904,                0.00904
                     38,                0.00508,                0.41698,                 0.8613,                0.98381,                0.98847,                0.98721,                0.73386,                0.00643,                0.39227,                0.89439,              0.0090133,              0.0090133,              0.0090133
                     39,                0.00509,                0.41566,                0.86106,                0.98295,                0.99158,                0.98827,                0.75382,                0.00626,                 0.3869,                0.88103,              0.0089867,              0.0089867,              0.0089867
                     40,                0.00506,                 0.4127,                 0.8632,                0.98334,                0.99112,                0.98875,                0.73884,                 0.0064,                0.37532,                0.89651,                0.00896,                0.00896,                0.00896
                     41,                0.00506,                0.41976,                 0.8604,                 0.9848,                 0.9902,                0.98873,                0.74031,                0.00652,                0.39103,                0.90202,              0.0089333,              0.0089333,              0.0089333
                     42,                0.00498,                 0.4107,                0.85669,                0.98603,                0.98882,                0.98935,                0.75306,                0.00611,                 0.3726,                0.88113,              0.0089067,              0.0089067,              0.0089067
                     43,                0.00506,                0.40913,                0.86172,                0.98535,                0.98919,                0.98929,                0.74026,                0.00647,                0.37761,                0.89959,                0.00888,                0.00888,                0.00888
                     44,                0.00505,                0.40528,                0.86507,                0.98515,                0.98908,                0.98815,                0.73181,                0.00665,                0.39826,                 0.9128,              0.0088533,              0.0088533,              0.0088533
                     45,                0.00506,                0.40961,                0.86231,                0.98574,                0.98973,                0.98998,                0.74157,                 0.0064,                 0.3868,                0.89048,              0.0088267,              0.0088267,              0.0088267
